"","word","freq"
"or the","or the",213
"the people","the people",213
"the whole","the whole",213
"for his","for his",212
"i really","i really",212
"not only","not only",212
"that a","that a",212
"away from","away from",211
"don't know","don't know",211
"get the","get the",211
"because the","because the",210
"the story","the story",210
"as he","as he",209
"as it","as it",209
"as we","as we",209
"is it","is it",209
"too much","too much",209
"how much","how much",208
"if we","if we",208
"last week","last week",208
"to this","to this",208
"fact that","fact that",207
"that will","that will",207
"time i","time i",207
"will have","will have",207
"and not","and not",206
"in fact","in fact",206
"my life","my life",206
"percent of","percent of",206
"who was","who was",206
"about a","about a",205
"and was","and was",205
"at all","at all",205
"to start","to start",205
"went to","went to",205
"as much","as much",204
"as they","as they",204
"rest of","rest of",204
"had the","had the",203
"and more","and more",202
"come to","come to",202
"forward to","forward to",202
"in which","in which",202
"lots of","lots of",202
"you don't","you don't",202
"i get","i get",201
"for an","for an",200
"he would","he would",200
"their own","their own",200
"across the","across the",199
"and my","and my",199
"the big","the big",199
"of its","of its",198
"there were","there were",198
"tried to","tried to",198
"it all","it all",197
"we will","we will",197
"in that","in that",196
"of people","of people",196
"said it","said it",196
"you get","you get",196
"where the","where the",195
"based on","based on",194
"of what","of what",193
"on your","on your",193
"st louis","st louis",193
"for your","for your",192
"at this","at this",191
"for all","for all",190
"is so","is so",190
"out and","out and",190
"that has","that has",189
"us to","us to",189
"with her","with her",189
"you do","you do",189
"along with","along with",188
"make the","make the",188
"me i","me i",188
"up for","up for",188
"what they","what they",188
"must be","must be",187
"say that","say that",187
"the country","the country",187
"to win","to win",186
"a small","a small",185
"first time","first time",185
"up a","up a",185
"since the","since the",183
"the case","the case",183
"the team","the team",183
"and all","and all",182
"and her","and her",182
"each other","each other",182
"got to","got to",182
"out there","out there",182
"to all","to all",182
"with me","with me",182
"bit of","bit of",181
"on their","on their",181
"to her","to her",181
"to look","to look",181
"a week","a week",180
"has to","has to",180
"so far","so far",180
"my own","my own",179
"or a","or a",179
"between the","between the",178
"due to","due to",178
"to hear","to hear",178
"with an","with an",178
"you need","you need",178
"that this","that this",177
"this time","this time",177
"ready to","ready to",176
"you think","you think",176
"i wanted","i wanted",175
"to an","to an",175
"and she","and she",174
"last night","last night",174
"make sure","make sure",174
"for us","for us",173
"so that","so that",173
"they can","they can",173
"who have","who have",173
"i've been","i've been",172
"to think","to think",172
"who has","who has",172
"if he","if he",171
"to tell","to tell",171
"i guess","i guess",170
"is my","is my",170
"less than","less than",170
"back in","back in",169
"having a","having a",169
"is still","is still",169
"are in","are in",168
"in order","in order",168
"it i","it i",168
"to our","to our",168
"to try","to try",168
"to your","to your",168
"and have","and have",167
"but not","but not",167
"even if","even if",167
"the back","the back",167
"think i","think i",167
"to pay","to pay",167
"to their","to their",167
"up on","up on",167
"wants to","wants to",167
"a way","a way",166
"and what","and what",166
"even though","even though",166
"for her","for her",166
"i also","i also",166
"much of","much of",166
"now i","now i",166
"on it","on it",166
"this one","this one",166
"you could","you could",166
"a while","a while",165
"feel like","feel like",165
"for some","for some",165
"it a","it a",165
"this morning","this morning",165
"with this","with this",165
"and if","and if",164
"and so","and so",164
"because it","because it",164
"do the","do the",164
"sort of","sort of",164
"what we","what we",164
"you and","you and",164
"is just","is just",163
"new jersey","new jersey",163
"the more","the more",163
"with you","with you",163
"on to","on to",162
"so we","so we",162
"thanks to","thanks to",162
"the national","the national",162
"and there","and there",161
"can't wait","can't wait",161
"me a","me a",161
"supposed to","supposed to",161
"the night","the night",161
"to write","to write",161
"what it","what it",161
"but they","but they",160
"for that","for that",160
"the united","the united",160
"then i","then i",160
"they will","they will",160
"we need","we need",160
"can do","can do",159
"the book","the book",159
"they had","they had",159
"was an","was an",159
"for their","for their",158
"i used","i used",158
"she had","she had",158
"the public","the public",158
"time for","time for",158
"did you","did you",157
"seems to","seems to",157
"a day","a day",156
"rather than","rather than",156
"will not","will not",156
"and how","and how",155
"as you","as you",155
"have no","have no",155
"you for","you for",155
"down to","down to",154
"for our","for our",154
"order to","order to",154
"she has","she has",154
"the idea","the idea",154
"think of","think of",154
"but we","but we",153
"could have","could have",153
"from my","from my",153
"i saw","i saw",153
"i went","i went",153
"not have","not have",153
"and now","and now",152
"and this","and this",152
"continue to","continue to",152
"front of","front of",152
"in some","in some",152
"the season","the season",152
"was just","was just",152
"and even","and even",151
"because they","because they",151
"it out","it out",151
"like that","like that",151
"love the","love the",151
"the government","the government",151
"time and","time and",151
"to share","to share",151
"at home","at home",150
"like this","like this",150
"may have","may have",150
"my favorite","my favorite",150
"the middle","the middle",150
"what a","what a",150
"and has","and has",149
"being a","being a",149
"chance to","chance to",149
"and their","and their",148
"let me","let me",148
"love you","love you",148
"much more","much more",148
"a man","a man",147
"back and","back and",147
"i knew","i knew",147
"on her","on her",147
"going on","going on",146
"is also","is also",146
"is on","is on",146
"is what","is what",146
"it with","it with",146
"needs to","needs to",146
"side of","side of",146
"think about","think about",146
"think that","think that",146
"to live","to live",146
"was so","was so",146
"which was","which was",146
"all that","all that",145
"check out","check out",145
"do with","do with",145
"don't have","don't have",145
"for more","for more",145
"of time","of time",145
"said in","said in",145
"should have","should have",145
"talk about","talk about",145
"tell you","tell you",145
"with some","with some",145
"would like","would like",145
"and for","and for",144
"see you","see you",144
"sense of","sense of",144
"to stop","to stop",144
"united states","united states",144
"while the","while the",144
"and will","and will",143
"can get","can get",143
"the door","the door",143
"them in","them in",143
"his own","his own",142
"made a","made a",142
"no longer","no longer",142
"time in","time in",142
"was going","was going",142
"what he","what he",142
"and one","and one",141
"and some","and some",141
"i wish","i wish",141
"in front","in front",141
"in new","in new",141
"love to","love to",141
"the final","the final",141
"a nice","a nice",140
"is now","is now",140
"just as","just as",140
"know how","know how",140
"talking about","talking about",140
"to that","to that",140
"with their","with their",140
"a large","a large",139
"in and","in and",139
"it up","it up",139
"better than","better than",138
"but that","but that",138
"i found","i found",138
"i should","i should",138
"like i","like i",138
"me that","me that",138
"take the","take the",138
"we all","we all",138
"a huge","a huge",137
"all i","all i",137
"for those","for those",137
"have an","have an",137
"i see","i see",137
"in all","in all",137
"it for","it for",137
"them and","them and",137
"there's a","there's a",137
"to read","to read",137
"when she","when she",137
"who had","who had",137
"are going","are going",136
"easy to","easy to",136
"for him","for him",136
"the entire","the entire",136
"until the","until the",136
"year and","year and",136
"you should","you should",136
"interested in","interested in",135
"much as","much as",135
"to bring","to bring",135
"to buy","to buy",135
"with your","with your",135
"but it's","but it's",134
"but this","but this",134
"he says","he says",134
"how many","how many",134
"how the","how the",134
"i made","i made",134
"out a","out a",134
"that there","that there",134
"to watch","to watch",134
"top of","top of",134
"two years","two years",134
"a better","a better",133
"and it's","and it's",133
"for it","for it",133
"here is","here is",133
"i still","i still",133
"the future","the future",133
"things that","things that",133
"to him","to him",133
"but in","but in",132
"expected to","expected to",132
"opportunity to","opportunity to",132
"said i","said i",132
"to meet","to meet",132
"would not","would not",132
"about to","about to",131
"it the","it the",131
"like it","like it",131
"no matter","no matter",131
"out in","out in",131
"with it","with it",131
"a chance","a chance",130
"among the","among the",130
"amount of","amount of",130
"before i","before i",130
"more of","more of",130
"not just","not just",130
"seem to","seem to",130
"the school","the school",130
"the word","the word",130
"to it","to it",130
"working on","working on",130
"it seems","it seems",129
"looking forward","looking forward",129
"my first","my first",129
"through a","through a",129
"about how","about how",128
"but if","but if",128
"but you","but you",128
"has the","has the",128
"he will","he will",128
"look like","look like",128
"about this","about this",127
"get it","get it",127
"if you're","if you're",127
"in one","in one",127
"is about","is about",127
"on our","on our",127
"so the","so the",127
"to create","to create",127
"to show","to show",127
"you can't","you can't",127
"you were","you were",127
"a time","a time",126
"and an","and an",126
"and as","and as",126
"and get","and get",126
"are so","are so",126
"as if","as if",126
"he did","he did",126
"do i","do i",125
"i decided","i decided",125
"life is","life is",125
"needed to","needed to",125
"of being","of being",125
"see what","see what",125
"wait to","wait to",125
"with that","with that",125
"because he","because he",124
"is all","is all",124
"the bottom","the bottom",124
"the third","the third",124
"to talk","to talk",124
"which i","which i",124
"his first","his first",123
"i'm going","i'm going",123
"los angeles","los angeles",123
"said she","said she",123
"that can","that can",123
"to learn","to learn",123
"and had","and had",122
"and when","and when",122
"find a","find a",122
"group of","group of",122
"looks like","looks like",122
"may not","may not",122
"people are","people are",122
"the main","the main",122
"the university","the university",122
"you like","you like",122
"and i'm","and i'm",121
"but a","but a",121
"came to","came to",121
"for example","for example",121
"full of","full of",121
"made it","made it",121
"people in","people in",121
"that my","that my",121
"version of","version of",121
"with all","with all",121
"your own","your own",121
"and make","and make",120
"can see","can see",120
"deal with","deal with",120
"follow me","follow me",120
"her to","her to",120
"i mean","i mean",120
"it but","it but",120
"lack of","lack of",120
"off to","off to",120
"the man","the man",120
"the show","the show",120
"years of","years of",120
"he also","he also",119
"he can","he can",119
"i said","i said",119
"looking at","looking at",119
"might have","might have",119
"the money","the money",119
"throughout the","throughout the",119
"to stay","to stay",119
"told me","told me",119
"was that","was that",119
"when a","when a",119
"where i","where i",119
"director of","director of",118
"my mind","my mind",118
"not sure","not sure",118
"now that","now that",118
"out for","out for",118
"the car","the car",118
"to them","to them",118
"told the","told the",118
"while i","while i",118
"a friend","a friend",117
"a whole","a whole",117
"and are","and are",117
"day and","day and",117
"he could","he could",117
"it as","it as",117
"it on","it on",117
"many people","many people",117
"that have","that have",117
"that in","that in",117
"these are","these are",117
"along the","along the",116
"an hour","an hour",116
"can you","can you",116
"comes to","comes to",116
"department of","department of",116
"have you","have you",116
"i'm a","i'm a",116
"ite28099s a","ite28099s a",116
"know the","know the",116
"ready for","ready for",116
"so it","so it",116
"the kids","the kids",116
"to move","to move",116
"university of","university of",116
"ability to","ability to",115
"day of","day of",115
"him and","him and",115
"hope you","hope you",115
"i never","i never",115
"is more","is more",115
"it comes","it comes",115
"live in","live in",115
"my head","my head",115
"of life","of life",115
"on that","on that",115
"piece of","piece of",115
"to leave","to leave",115
"we got","we got",115
"within the","within the",115
"you guys","you guys",115
"at my","at my",114
"be on","be on",114
"from his","from his",114
"here in","here in",114
"i hate","i hate",114
"in its","in its",114
"the family","the family",114
"the real","the real",114
"this season","this season",114
"to run","to run",114
"way of","way of",114
"you in","you in",114
"a different","a different",113
"and see","and see",113
"but there","but there",113
"here and","here and",113
"i'll be","i'll be",113
"it can","it can",113
"one day","one day",113
"san francisco","san francisco",113
"took a","took a",113
"a more","a more",112
"for them","for them",112
"out on","out on",112
"so you","so you",112
"that one","that one",112
"the american","the american",112
"the old","the old",112
"you a","you a",112
"you see","you see",112
"you would","you would",112
"a month","a month",111
"any of","any of",111
"behind the","behind the",111
"how do","how do",111
"i felt","i felt",111
"listening to","listening to",111
"the road","the road",111
"think the","think the",111
"time of","time of",111
"use of","use of",111
"waiting for","waiting for",111
"with them","with them",111
"are still","are still",110
"every time","every time",110
"i say","i say",110
"list of","list of",110
"me in","me in",110
"of me","of me",110
"or not","or not",110
"said they","said they",110
"two of","two of",110
"was also","was also",110
"was very","was very",110
"where he","where he",110
"all over","all over",109
"know if","know if",109
"makes me","makes me",109
"me the","me the",109
"next to","next to",109
"of things","of things",109
"the ground","the ground",109
"the movie","the movie",109
"the number","the number",109
"the very","the very",109
"years and","years and",109
"you all","you all",109
"a book","a book",108
"become a","become a",108
"his wife","his wife",108
"million in","million in",108
"the ball","the ball",108
"this weekend","this weekend",108
"we could","we could",108
"well i","well i",108
"work on","work on",108
"and its","and its",107
"close to","close to",107
"had no","had no",107
"i believe","i believe",107
"just the","just the",107
"made the","made the",107
"member of","member of",107
"need a","need a",107
"of how","of how",107
"something that","something that",107
"that if","that if",107
"the event","the event",107
"then the","then the",107
"time the","time the",107
"what to","what to",107
"what was","what was",107
"a group","a group",106
"after all","after all",106
"all my","all my",106
"don't want","don't want",106
"in addition","in addition",106
"in other","in other",106
"known as","known as",106
"only a","only a",106
"people to","people to",106
"plans to","plans to",106
"the biggest","the biggest",106
"the federal","the federal",106
"the name","the name",106
"the water","the water",106
"they would","they would",106
"with him","with him",106
"with no","with no",106
"a woman","a woman",105
"filled with","filled with",105
"how i","how i",105
"it's the","it's the",105
"just like","just like",105
"listen to","listen to",105
"same time","same time",105
"set up","set up",105
"think it","think it",105
"to follow","to follow",105
"to provide","to provide",105
"all about","all about",104
"do that","do that",104
"end up","end up",104
"have had","have had",104
"i started","i started",104
"it's been","it's been",104
"one is","one is",104
"put the","put the",104
"right to","right to",104
"see it","see it",104
"the air","the air",104
"the good","the good",104
"the things","the things",104
"to change","to change",104
"we do","we do",104
"willing to","willing to",104
"and said","and said",103
"believe that","believe that",103
"but i'm","but i'm",103
"home and","home and",103
"is very","is very",103
"little bit","little bit",103
"or two","or two",103
"the great","the great",103
"the point","the point",103
"three years","three years",103
"use the","use the",103
"work and","work and",103
"and two","and two",102
"called the","called the",102
"don't think","don't think",102
"likely to","likely to",102
"love it","love it",102
"next week","next week",102
"place to","place to",102
"president of","president of",102
"see a","see a",102
"since i","since i",102
"thinking about","thinking about",102
"this month","this month",102
"could not","could not",101
"here are","here are",101
"it had","it had",101
"on saturday","on saturday",101
"the moment","the moment",101
"the morning","the morning",101
"the problem","the problem",101
"they do","they do",101
"up at","up at",101
"us and","us and",101
"a number","a number",100
"every day","every day",100
"few days","few days",100
"just to","just to",100
"members of","members of",100
"my husband","my husband",100
"one that","one that",100
"one thing","one thing",100
"the police","the police",100
"the week","the week",100
"the worst","the worst",100
"type of","type of",100
"you may","you may",100
"a place","a place",99
"a single","a single",99
"and your","and your",99
"as many","as many",99
"down and","down and",99
"i always","i always",99
"i took","i took",99
"in 2008","in 2008",99
"tell me","tell me",99
"the county","the county",99
"the field","the field",99
"the line","the line",99
"was on","was on",99
"was one","was one",99
"what are","what are",99
"as she","as she",98
"even more","even more",98
"go back","go back",98
"i didne28099t","i didne28099t",98
"last month","last month",98
"of new","of new",98
"over a","over a",98
"plan to","plan to",98
"talk to","talk to",98
"the group","the group",98
"the law","the law",98
"what do","what do",98
"are all","are all",97
"but for","but for",97
"e28094 and","e28094 and",97
"each of","each of",97
"have not","have not",97
"it also","it also",97
"long time","long time",97
"on and","on and",97
"see how","see how",97
"so they","so they",97
"the beginning","the beginning",97
"to us","to us",97
"we get","we get",97
"a bad","a bad",96
"am not","am not",96
"and just","and just",96
"be sure","be sure",96
"but she","but she",96
"few years","few years",96
"keep the","keep the",96
"on twitter","on twitter",96
"only one","only one",96
"the question","the question",96
"to become","to become",96
"was no","was no",96
"where they","where they",96
"which has","which has",96
"wish i","wish i",96
"work with","work with",96
"a real","a real",95
"and also","and also",95
"be used","be used",95
"idea of","idea of",95
"it doesn't","it doesn't",95
"out that","out that",95
"the market","the market",95
"the process","the process",95
"the work","the work",95
"this point","this point",95
"to let","to let",95
"about what","about what",94
"can make","can make",94
"half of","half of",94
"have some","have some",94
"i miss","i miss",94
"in 2010","in 2010",94
"in it","in it",94
"long as","long as",94
"quite a","quite a",94
"seemed to","seemed to",94
"the area","the area",94
"the opportunity","the opportunity",94
"thousands of","thousands of",94
"to spend","to spend",94
"to visit","to visit",94
"also a","also a",93
"and no","and no",93
"are just","are just",93
"as long","as long",93
"at that","at that",93
"been in","been in",93
"but also","but also",93
"day i","day i",93
"is for","is for",93
"is there","is there",93
"it just","it just",93
"plenty of","plenty of",93
"say the","say the",93
"the city's","the city's",93
"the film","the film",93
"the front","the front",93
"the sun","the sun",93
"the three","the three",93
"to build","to build",93
"were not","were not",93
"were the","were the",93
"addition to","addition to",92
"back on","back on",92
"but when","but when",92
"ie28099m not","ie28099m not",92
"it takes","it takes",92
"my new","my new",92
"someone who","someone who",92
"that had","that had",92
"the floor","the floor",92
"these days","these days",92
"to one","to one",92
"today i","today i",92
"was to","was to",92
"where you","where you",92
"you might","you might",92
"a former","a former",91
"a game","a game",91
"and on","and on",91
"during a","during a",91
"got the","got the",91
"i remember","i remember",91
"is always","is always",91
"it could","it could",91
"not in","not in",91
"now and","now and",91
"out with","out with",91
"see if","see if",91
"series of","series of",91
"that were","that were",91
"that's what","that's what",91
"the fourth","the fourth",91
"there and","there and",91
"this will","this will",91
"to add","to add",91
"about my","about my",90
"about that","about that",90
"focus on","focus on",90
"get out","get out",90
"have any","have any",90
"i haven't","i haven't",90
"important to","important to",90
"in january","in january",90
"is this","is this",90
"know i","know i",90
"sure to","sure to",90
"that's a","that's a",90
"the room","the room",90
"took the","took the",90
"two weeks","two weeks",90
"who will","who will",90
"a child","a child",89
"a wonderful","a wonderful",89
"did i","did i",89
"for years","for years",89
"hit the","hit the",89
"i might","i might",89
"it makes","it makes",89
"it may","it may",89
"left the","left the",89
"life and","life and",89
"that his","that his",89
"that way","that way",89
"the current","the current",89
"the lord","the lord",89
"the original","the original",89
"the program","the program",89
"to its","to its",89
"where we","where we",89
"you just","you just",89
"a job","a job",88
"a team","a team",88
"but as","but as",88
"can i","can i",88
"find out","find out",88
"found a","found a",88
"has not","has not",88
"i find","i find",88
"of which","of which",88
"over to","over to",88
"terms of","terms of",88
"the latest","the latest",88
"the little","the little",88
"the local","the local",88
"the music","the music",88
"the white","the white",88
"there will","there will",88
"they did","they did",88
"we know","we know",88
"we want","we want",88
"year the","year the",88
"a second","a second",87
"any other","any other",87
"for one","for one",87
"how they","how they",87
"it does","it does",87
"ite28099s not","ite28099s not",87
"more about","more about",87
"my mom","my mom",87
"on monday","on monday",87
"on one","on one",87
"one in","one in",87
"or more","or more",87
"says the","says the",87
"something to","something to",87
"the president","the president",87
"wait for","wait for",87
"and with","and with",86
"be more","be more",86
"ended up","ended up",86
"figure out","figure out",86
"health care","health care",86
"involved in","involved in",86
"is good","is good",86
"next year","next year",86
"on how","on how",86
"the following","the following",86
"the food","the food",86
"the former","the former",86
"using the","using the",86
"ways to","ways to",86
"we don't","we don't",86
"why i","why i",86
"with our","with our",86
"with us","with us",86
"you the","you the",86
"a pretty","a pretty",85
"a series","a series",85
"and of","and of",85
"as possible","as possible",85
"hundreds of","hundreds of",85
"is being","is being",85
"made me","made me",85
"on an","on an",85
"or even","or even",85
"or so","or so",85
"pretty much","pretty much",85
"put it","put it",85
"the bill","the bill",85
"the perfect","the perfect",85
"the power","the power",85
"the project","the project",85
"they want","they want",85
"thing i","thing i",85
"to eat","to eat",85
"variety of","variety of",85
"will take","will take",85
"a special","a special",84
"are some","are some",84
"but then","but then",84
"come out","come out",84
"family and","family and",84
"friends and","friends and",84
"in love","in love",84
"managed to","managed to",84
"not been","not been",84
"now the","now the",84
"of some","of some",84
"the weekend","the weekend",84
"this book","this book",84
"thought it","thought it",84
"we would","we would",84
"were in","were in",84
"your life","your life",84
"a full","a full",83
"a person","a person",83
"a young","a young",83
"as part","as part",83
"do a","do a",83
"good for","good for",83
"good to","good to",83
"happy to","happy to",83
"him in","him in",83
"hope to","hope to",83
"not so","not so",83
"the cost","the cost",83
"the hospital","the hospital",83
"the job","the job",83
"they don't","they don't",83
"to ask","to ask",83
"too many","too many",83
"was able","was able",83
"which are","which are",83
"work in","work in",83
"a major","a major",82
"at work","at work",82
"come back","come back",82
"do so","do so",82
"e28093 the","e28093 the",82
"excited to","excited to",82
"no idea","no idea",82
"that could","that could",82
"the board","the board",82
"the internet","the internet",82
"the news","the news",82
"the summer","the summer",82
"time with","time with",82
"to hold","to hold",82
"what happened","what happened",82
"will get","will get",82
"will never","will never",82
"years in","years in",82
"a family","a family",81
"a strong","a strong",81
"access to","access to",81
"be an","be an",81
"her husband","her husband",81
"how it","how it",81
"if a","if a",81
"in life","in life",81
"interest in","interest in",81
"it might","it might",81
"it wasn't","it wasn't",81
"it's just","it's just",81
"my way","my way",81
"soon as","soon as",81
"though i","though i",81
"to avoid","to avoid",81
"to feel","to feel",81
"you go","you go",81
"and be","and be",80
"attempt to","attempt to",80
"came out","came out",80
"had an","had an",80
"i asked","i asked",80
"is really","is really",80
"look for","look for",80
"my friend","my friend",80
"of him","of him",80
"on friday","on friday",80
"people and","people and",80
"state of","state of",80
"that when","that when",80
"the place","the place",80
"the truth","the truth",80
"were a","were a",80
"who were","who were",80
"will make","will make",80
"and our","and our",79
"back of","back of",79
"care of","care of",79
"did a","did a",79
"do this","do this",79
"find the","find the",79
"home in","home in",79
"i couldn't","i couldn't",79
"man who","man who",79
"money to","money to",79
"not going","not going",79
"outside the","outside the",79
"the scene","the scene",79
"to check","to check",79
"to understand","to understand",79
"we should","we should",79
"won the","won the",79
"you feel","you feel",79
"an old","an old",78
"as for","as for",78
"be there","be there",78
"but with","but with",78
"charged with","charged with",78
"done28099t know","done28099t know",78
"go on","go on",78
"ice cream","ice cream",78
"it so","it so",78
"know it","know it",78
"middle of","middle of",78
"my heart","my heart",78
"of other","of other",78
"on top","on top",78
"once again","once again",78
"read the","read the",78
"return to","return to",78
