"","word","freq"
"of the","of the",8275
"in the","in the",7466
"to the","to the",3921
"on the","on the",3478
"for the","for the",3297
"to be","to be",2834
"and the","and the",2524
"at the","at the",2499
"in a","in a",2231
"with the","with the",2062
"is a","is a",1770
"from the","from the",1733
"it was","it was",1725
"for a","for a",1597
"of a","of a",1526
"with a","with a",1523
"i was","i was",1494
"it is","it is",1486
"and i","and i",1429
"will be","will be",1413
"i have","i have",1407
"as a","as a",1358
"one of","one of",1338
"is the","is the",1270
"going to","going to",1245
"i am","i am",1202
"that the","that the",1200
"if you","if you",1179
"by the","by the",1175
"have a","have a",1152
"to get","to get",1119
"and a","and a",1085
"this is","this is",1054
"the first","the first",1049
"to a","to a",1035
"that i","that i",1026
"to do","to do",1021
"have to","have to",1011
"want to","want to",989
"was a","was a",989
"out of","out of",988
"have been","have been",952
"i think","i think",923
"on a","on a",913
"the same","the same",889
"a lot","a lot",882
"all the","all the",878
"he was","he was",878
"to make","to make",867
"you can","you can",861
"as the","as the",859
"but i","but i",857
"to see","to see",834
"has been","has been",827
"a little","a little",805
"would be","would be",802
"a few","a few",792
"more than","more than",786
"of my","of my",781
"into the","into the",780
"he said","he said",763
"about the","about the",762
"be a","be a",759
"when i","when i",707
"i had","i had",694
"to have","to have",693
"in my","in my",682
"they are","they are",676
"need to","need to",674
"there is","there is",670
"there are","there are",646
"to go","to go",633
"had a","had a",628
"i can","i can",626
"you are","you are",623
"a good","a good",622
"that is","that is",620
"we are","we are",610
"lot of","lot of",605
"the best","the best",604
"is not","is not",603
"so i","so i",601
"over the","over the",600
"the most","the most",600
"but the","but the",595
"i know","i know",589
"i love","i love",588
"some of","some of",588
"part of","part of",587
"i don't","i don't",584
"able to","able to",581
"you have","you have",578
"at least","at least",564
"the new","the new",563
"we have","we have",555
"and then","and then",554
"i would","i would",549
"all of","all of",548
"of his","of his",548
"a great","a great",547
"a new","a new",542
"the world","the world",538
"as well","as well",535
"can be","can be",534
"was the","was the",533
"the other","the other",518
"that he","that he",510
"the last","the last",506
"according to","according to",501
"at a","at a",497
"i will","i will",496
"trying to","trying to",492
"like a","like a",488
"the way","the way",486
"up to","up to",486
"on my","on my",485
"to take","to take",485
"in this","in this",483
"said the","said the",483
"i just","i just",482
"back to","back to",479
"if i","if i",469
"is that","is that",469
"they were","they were",468
"when the","when the",468
"the next","the next",465
"the time","the time",464
"so much","so much",463
"he is","he is",459
"the end","the end",457
"of this","of this",454
"do you","do you",452
"in his","in his",446
"but it","but it",440
"to me","to me",440
"and it","and it",438
"through the","through the",436
"thank you","thank you",435
"as i","as i",430
"for me","for me",430
"thanks for","thanks for",430
"from a","from a",426
"a bit","a bit",422
"she was","she was",411
"kind of","kind of",410
"has a","has a",409
"which is","which is",408
"you know","you know",407
"be the","be the",406
"when you","when you",406
"what i","what i",402
"this year","this year",400
"way to","way to",400
"had to","had to",399
"time to","time to",399
"would have","would have",399
"that it","that it",395
"to say","to say",394
"after the","after the",393
"of our","of our",393
"such as","such as",388
"and that","and that",386
"that was","that was",384
"of course","of course",383
"me to","me to",382
"said he","said he",380
"of their","of their",379
"the only","the only",379
"new york","new york",378
"that you","that you",378
"there was","there was",377
"i could","i could",375
"of them","of them",361
"during the","during the",357
"last year","last year",357
"the state","the state",357
"and we","and we",356
"we were","we were",356
"go to","go to",355
"that they","that they",354
"how to","how to",353
"like to","like to",353
"end of","end of",351
"he has","he has",351
"into a","into a",351
"to work","to work",351
"should be","should be",350
"to keep","to keep",350
"i want","i want",349
"most of","most of",349
"wanted to","wanted to",348
"that we","that we",347
"is to","is to",346
"and he","and he",342
"the city","the city",342
"did not","did not",341
"have the","have the",337
"are the","are the",336
"by a","by a",336
"the day","the day",334
"up the","up the",334
"she said","she said",333
"they have","they have",333
"the past","the past",330
"had been","had been",329
"and his","and his",328
"if the","if the",328
"this week","this week",328
"i got","i got",327
"it would","it would",327
"to my","to my",327
"with my","with my",327
"it will","it will",325
"the right","the right",325
"of it","of it",323
"right now","right now",323
"to find","to find",322
"not a","not a",321
"in an","in an",319
"he had","he had",318
"it's a","it's a",318
"to help","to help",317
"we can","we can",317
"i do","i do",316
"around the","around the",313
"the us","the us",312
"like the","like the",311
"off the","off the",311
"when he","when he",311
"it to","it to",310
"and other","and other",303
"could be","could be",303
"i did","i did",303
"such a","such a",302
"because of","because of",301
"well as","well as",299
"for my","for my",298
"are you","are you",296
"make a","make a",295
"get a","get a",292
"you want","you want",292
"a very","a very",289
"and they","and they",288
"up with","up with",288
"the second","the second",287
"the top","the top",287
"i thought","i thought",286
"in their","in their",285
"of all","of all",285
"out the","out the",285
"and you","and you",284
"because i","because i",284
"i feel","i feel",281
"not to","not to",281
"about it","about it",279
"of those","of those",279
"a big","a big",277
"high school","high school",277
"it has","it has",277
"used to","used to",277
"you to","you to",277
"a couple","a couple",275
"just a","just a",274
"try to","try to",274
"is an","is an",273
"up and","up and",273
"what is","what is",273
"in your","in your",272
"of her","of her",272
"before the","before the",267
"for you","for you",267
"of your","of your",266
"number of","number of",264
"it and","it and",263
"in our","in our",262
"to give","to give",262
"was not","was not",262
"what you","what you",262
"of us","of us",261
"been a","been a",260
"look at","look at",259
"people who","people who",258
"the game","the game",258
"who is","who is",258
"are not","are not",257
"do not","do not",257
"when they","when they",257
"and in","and in",256
"i can't","i can't",255
"i need","i need",255
"instead of","instead of",255
"you will","you will",255
"out to","out to",254
"who are","who are",254
"a long","a long",253
"know that","know that",253
"those who","those who",253
"are a","are a",252
"that would","that would",251
"to come","to come",250
"up in","up in",250
"make it","make it",248
"me and","me and",248
"the one","the one",248
"we had","we had",248
"be able","be able",247
"years ago","years ago",246
"and to","and to",245
"a year","a year",243
"i hope","i hope",243
"the fact","the fact",243
"the rest","the rest",243
"the two","the two",243
"was in","was in",243
"of these","of these",242
"that are","that are",242
"the house","the house",241
"do it","do it",240
"is no","is no",240
"see the","see the",240
"enough to","enough to",239
"it in","it in",239
"against the","against the",238
"is in","is in",238
"many of","many of",238
"with his","with his",238
"that she","that she",237
"but he","but he",236
"know what","know what",236
"after a","after a",235
"i didn't","i didn't",235
"looking for","looking for",235
"on this","on this",235
"to use","to use",235
"couple of","couple of",234
"of that","of that",233
"the year","the year",233
"of an","of an",232
"to know","to know",232
"so many","so many",231
"i'm not","i'm not",230
"does not","does not",229
"is one","is one",229
"get to","get to",228
"said that","said that",228
"i done28099t","i done28099t",226
"is going","is going",226
"not the","not the",226
"to his","to his",226
"to play","to play",226
"this was","this was",225
"under the","under the",225
"when it","when it",225
"i like","i like",224
"take a","take a",224
"to put","to put",224
"the company","the company",223
"what the","what the",222
"decided to","decided to",221
"down the","down the",221
"may be","may be",221
"of you","of you",221
"on his","on his",221
"to you","to you",221
"when we","when we",221
"as an","as an",220
"in her","in her",220
"she is","she is",220
"for this","for this",219
"no one","no one",219
"and is","and is",218
"it's not","it's not",218
"them to","them to",218
"hard to","hard to",217
"got a","got a",216
"not be","not be",216
"than a","than a",216
"than the","than the",216
"if they","if they",215
"be in","be in",214
"him to","him to",213
"if it","if it",213
"might be","might be",213
